# San Francisco Restaurant IDs from Yelp
# Total: 100 restaurants
# Format: YELP_ID | Name | Rating | Price | Category

Vlf7LMbQ0VNIP3PuViDhbA | La Cafeteria | 4.9 | N/A | Coffee & Tea
PZuGAROy2IwRFWEsY6KjpQ | Naan & Pizza | 4.9 | N/A | Indian
2-9MlxhiVf6LP7JgscwpHw | Bocadito | 4.9 | N/A | Pop-Up Restaurants
8XtQCBtRHt1qRzMtroR7Xg | Cultivar Ghirardelli Square | 4.9 | N/A | Wine Tasting Room
LpJRl7omZ13AWJyZjHi8zQ | Cafe Velora | 4.9 | N/A | Cafes
M34J1bd4rjtvlLq7FdVcvg | HolyShred | 4.9 | N/A | Thai
OkhXZn8nmGZyHO46s6NUMA | Pacifico | 4.9 | N/A | Colombian
C1KKLpAVfOH4PsTHHWsAqQ | Ap’s Cafe | 4.9 | N/A | Cafes
snvCNwBlYjvA0FJ6L8CyHA | Social Cafe | 4.9 | $ | Cuban
sv6wVM3C9JyY7eAVb3qF5Q | Aedan Koji Kitchen | 4.9 | $$ | Japanese
fdiCoYNaTBuGDvia4RemEw | SF Food Market | 4.9 | N/A | Salad
ATj-8RmOJln9UnCEuraEzw | Noodle in a Haystack | 4.9 | $$$$ | Ramen
pDe8b2Y2615M-2NhHRa-4w | San Francisco Wine & Cheese | 4.9 | $$ | Cheese Shops
FWZaLUnb47Kg_crecTPpTA | Leadbetters Bake Shop | 4.9 | N/A | Bakeries
f2HhToG8t60dywmNduOV_g | Taqueria Los Altos  | 4.9 | N/A | Tacos
L9a1GXAQhOUt_uOoqAs-Mg | Oasis Fusion Kitchen | 4.9 | N/A | Waffles
ognOJ7ivOd2SD-UPBiA2jQ | Sewa Indian and Nepalese Cuisine | 4.9 | N/A | Indian
u1epvGOJ6qd7K7Og_SuJqw | MayaFlor | 4.9 | N/A | Breakfast & Brunch
PPAbP5rweo5AT_0qEMH3Sg | Indigo | 4.8 | N/A | Cocktail Bars
3aT47Fgzll2qXe4gcPGXNQ | Food Basket Market | 4.8 | N/A | Delis
YmM_B3B2P9Ci-HBINOqTOQ | apizza & Loving Cup | 4.8 | N/A | Pizza
54FhPcut3uFDbpNCRWUOlQ | Milos Meze | 4.8 | $$ | Greek
fhOhZtDaWBEGrO9FDLGGgQ | Yuja | 4.8 | N/A | Pan Asian
LIAMsumyQbaubYLFynXoZA | Cocina Mamá Cholita | 4.8 | $$ | Breakfast & Brunch
0mGIlXKLncfxwOJj4JuBpw | Question Mark Bar | 4.8 | N/A | Bars
eo67P4ZTkD8UpRqEfMMU4Q | Cafe Suspiro | 4.8 | $ | Coffee & Tea
EuczgtYajVyKEEIUBGSykg | Freshito | 4.8 | N/A | Creperies
6sMrtxZMa7OpUGSkqpjsDQ | K Five Fifty | 4.8 | N/A | Cafes
URaM1-v3xBzgy0yG4KY90g | Bini’s Kitchen | 4.8 | N/A | Himalayan/Nepalese
B4XYDQnVGmC-MaHC-qCbXg | Kolaj | 4.8 | N/A | Mediterranean
-c0VRNWOg3lqczDkMH_wyg | Cardona’s Authentic Mexican Cuisine | 4.8 | N/A | Food Trucks
RMD2w2KYa4Vm5EYZ6UCu4Q | Cheese Boutique | 4.8 | $ | Cheese Shops
-ltL2TH7sJxBYuDX_J0hxQ | Viva Cafe | 4.8 | $ | Cafes
KwMiT6kNt0tPiYz8N_-ikQ | Board and Drink | 4.8 | $$ | Breakfast & Brunch
FgLsZLcqMwXTE0YuXizGRA | Chef Xiong Kitchen | 4.8 | N/A | Szechuan
